[2020-10-27 16:11:03,216][read_data.py 24][INFO]: 读到数据 ==>>  {'test_detect_image_faces_success': [['test-project', 'oss://imm-test/testcases/test.jpg', '200', True, True, 'oss://imm-test/testcases/test.jpg'], ['test-project', 'oss://imm-test/testcases/test.png', '200', True, True, 'oss://imm-test/testcases/test.png'], ['test-project', 'oss://imm-test/testcases/test.bmp', '200', True, True, 'oss://imm-test/testcases/test.bmp'], ['test-project', 'oss://imm-test/testcases/test.tif', '200', True, True, 'oss://imm-test/testcases/test.tif'], ['test-project', 'oss://imm-test/testcases/test.gif', '200', True, True, 'oss://imm-test/testcases/test.gif']], 'test_detect_image_faces_fail': [['non-exist-project', 'oss://imm-test/testcases/test.jpg', '400', True, False, False, 'project不存在'], ['other-user-project', 'oss://imm-test/testcases/test.jpg', '400', True, False, False, 'project不是当前用户的project'], ['test-project', 'oss://imm-test/testcases', '400', True, False, False, 'ImageUri路径不是图片'], ['test-project', 'oss://aaa/testcases/test.jpg', '400', True, False, False, '当前project不存在的obs'], ['test-project', 'test://imm-test/testcases/test.jpg', '400', True, False, False, 'ImageUri路径格式异常'], ['test-project', 'oss://imm-test/testcases/notexistpic.jpg', '400', True, False, False, 'ImageUri路径图片不存在'], ['test-project', 'oss://imm-test/testcases/test.txt', '400', True, False, False, 'ImageUri不是图片格式'], ['test-project', 'oss://imm-test/testcases/aaa.jpg', '400', True, False, False, '图片异常分析失败']]} 
[2020-10-27 16:11:03,649][test_detect_image_faces.py 25][INFO]: *************** 开始执行用例 ***************
[2020-10-27 16:11:03,801][test_detect_image_faces.py 57][INFO]: *************** 结束执行用例 ***************
[2020-10-27 16:11:03,805][test_detect_image_faces.py 25][INFO]: *************** 开始执行用例 ***************
[2020-10-27 16:11:03,962][test_detect_image_faces.py 57][INFO]: *************** 结束执行用例 ***************
[2020-10-27 16:11:03,965][test_detect_image_faces.py 25][INFO]: *************** 开始执行用例 ***************
[2020-10-27 16:11:04,197][test_detect_image_faces.py 57][INFO]: *************** 结束执行用例 ***************
[2020-10-27 16:11:04,200][test_detect_image_faces.py 25][INFO]: *************** 开始执行用例 ***************
[2020-10-27 16:11:04,308][test_detect_image_faces.py 57][INFO]: *************** 结束执行用例 ***************
[2020-10-27 16:11:04,311][test_detect_image_faces.py 25][INFO]: *************** 开始执行用例 ***************
[2020-10-27 16:11:04,412][test_detect_image_faces.py 57][INFO]: *************** 结束执行用例 ***************
[2020-10-27 16:11:04,417][test_detect_image_faces.py 64][INFO]: *************** 开始执行用例 ***************
[2020-10-27 16:11:04,514][test_detect_image_faces.py 91][INFO]: *************** 结束执行用例 ***************
[2020-10-27 16:11:04,518][test_detect_image_faces.py 64][INFO]: *************** 开始执行用例 ***************
[2020-10-27 16:11:04,643][test_detect_image_faces.py 91][INFO]: *************** 结束执行用例 ***************
[2020-10-27 16:11:04,647][test_detect_image_faces.py 64][INFO]: *************** 开始执行用例 ***************
[2020-10-27 16:11:04,746][test_detect_image_faces.py 91][INFO]: *************** 结束执行用例 ***************
[2020-10-27 16:11:04,750][test_detect_image_faces.py 64][INFO]: *************** 开始执行用例 ***************
[2020-10-27 16:11:04,857][test_detect_image_faces.py 91][INFO]: *************** 结束执行用例 ***************
[2020-10-27 16:11:04,861][test_detect_image_faces.py 64][INFO]: *************** 开始执行用例 ***************
[2020-10-27 16:11:05,001][test_detect_image_faces.py 91][INFO]: *************** 结束执行用例 ***************
[2020-10-27 16:11:05,005][test_detect_image_faces.py 64][INFO]: *************** 开始执行用例 ***************
[2020-10-27 16:11:05,131][test_detect_image_faces.py 91][INFO]: *************** 结束执行用例 ***************
[2020-10-27 16:11:05,135][test_detect_image_faces.py 64][INFO]: *************** 开始执行用例 ***************
[2020-10-27 16:11:05,251][test_detect_image_faces.py 91][INFO]: *************** 结束执行用例 ***************
[2020-10-27 16:11:05,254][test_detect_image_faces.py 64][INFO]: *************** 开始执行用例 ***************
[2020-10-27 16:11:05,391][test_detect_image_faces.py 91][INFO]: *************** 结束执行用例 ***************
